sku,category,tags,title,price,color,size,images,class,number_of_speeds,max_speed,wheel_diameter,frame_material,brake_type
195037858,Electric transport>Unicycles,For kids,МоноКолесо Z1,5999,Blue,,https://content1.rozetka.com.ua/goods/images/big/120700005.jpg|https://content2.rozetka.com.ua/goods/images/big/120700013.jpg,Kids,,18,14,Steel,Disk hydraulic
195037851,Electric transport>Unicycles,For kids,МоноКолесо X5 Карбон 2-х колесное ,7999,Black,,https://content.rozetka.com.ua/goods/images/big/120700006.jpg|https://content1.rozetka.com.ua/goods/images/big/120700010.jpg|https://content.rozetka.com.ua/goods/images/big/120700027.jpg,Kids,,18,14,Carbon,Disk hydraulic
49825246,Electric transport>Unicycles,For kids,Моноколесо KingSong 14M 174Wh/800W,13330,Black,,https://content1.rozetka.com.ua/goods/images/big/12358001.png|https://content.rozetka.com.ua/goods/images/big/12358010.png|https://content1.rozetka.com.ua/goods/images/big/12358031.png|https://content1.rozetka.com.ua/goods/images/big/12358048.png|https://content1.rozetka.com.ua/goods/images/big/12358058.png,Kids,,20,14,Steel,Promax Alloy Mechnical Disc. 160/161
49825206,Electric transport>Unicycles,For adalts,Моноколесо KingSong 14D 420Wh/800W,21990,Black,,https://content1.rozetka.com.ua/goods/images/big/12358001.png|https://content.rozetka.com.ua/goods/images/big/12358010.png|https://content1.rozetka.com.ua/goods/images/big/12358031.png|https://content1.rozetka.com.ua/goods/images/big/12358048.png|https://content1.rozetka.com.ua/goods/images/big/12358058.png,Adalts,,30,14,Steel,Promax Alloy Mechnical Disc. 160/161
136070346,Electric transport>Unicycles,For adalts,Моноколесо KingSong 18L 1036Wh/2000W,43990,Black,,https://content.rozetka.com.ua/goods/images/big/18158535.jpg|https://content1.rozetka.com.ua/goods/images/big/18158567.jpg|https://content2.rozetka.com.ua/goods/images/big/18158667.jpg|https://content1.rozetka.com.ua/goods/images/big/18158692.jpg|https://content2.rozetka.com.ua/goods/images/big/18158708.jpg,Adalts,,50,18,Steel,Promax Alloy Mechnical Disc. 160/161
237025285,Electric transport>Unicycles,For adalts,Моноколесо InMotion V11,58999,Black,,https://content1.rozetka.com.ua/goods/images/big/140588296.jpg|https://content.rozetka.com.ua/goods/images/big/140588309.jpg|https://content.rozetka.com.ua/goods/images/big/140588342.jpg|https://content1.rozetka.com.ua/goods/images/big/140588353.jpg|https://content.rozetka.com.ua/goods/images/big/140588361.jpg,Adalts,,55,18,Steel,Promax Alloy Mechnical Disc. 160/161
110982376,Electric transport>Unicycles,For kids,Моноколесо зі світловими ефектами HL-888,6989,Blue,,https://content2.rozetka.com.ua/goods/images/big/88389676.png|https://content.rozetka.com.ua/goods/images/big/88389702.jpg,Kids,,35,14,Aluminum,Disk hydraulic
200605639,Electric transport>Electric bicycles,Ecological,Електровелосипед Maxxter City,18499,Whire,18,https://content1.rozetka.com.ua/goods/images/big/123537798.jpg|https://content1.rozetka.com.ua/goods/images/big/123537806.jpg|https://content.rozetka.com.ua/goods/images/big/123537748.jpg|https://content1.rozetka.com.ua/goods/images/big/123537815.jpg|https://content.rozetka.com.ua/goods/images/big/123537828.jpg,City,,25,20,Aluminum,Promax Alloy Mechnical Disc. 160/161
200604769,Electric transport>Electric bicycles,Ecological,Електровелосипед Maxxter City,18499,Gray,18,https://content1.rozetka.com.ua/goods/images/big/123537509.jpg|https://content.rozetka.com.ua/goods/images/big/123537524.jpg|https://content.rozetka.com.ua/goods/images/big/123537533.jpg|https://content1.rozetka.com.ua/goods/images/big/123537547.jpg,City,,25,20,Aluminum,Promax Alloy Mechnical Disc. 160/161
78339986,Electric transport>Electric bicycles,Ecological,Електровелосипед TRINX E-Bike X1E 17 Matt-Black-Green-Blue (X1EMBGB),27898,Matt-Black-Green-Blue,18,https://content.rozetka.com.ua/goods/images/big/13976900.jpg|https://content.rozetka.com.ua/goods/images/big/13976978.jpg|https://content2.rozetka.com.ua/goods/images/big/13976920.jpg|https://content1.rozetka.com.ua/goods/images/big/13976922.jpg|https://content1.rozetka.com.ua/goods/images/big/13976931.jpg,mountin,,30,26,Steel,Disk hydraulic
